elapsedtime,ECG
seconds,mv
5.156,-0.17
5.16,-0.158
5.164,-0.16
5.168,-0.16
5.172,-0.16
5.176,-0.165
5.18,-0.165
5.184,-0.172
5.188,-0.168
5.192,-0.182
5.196,-0.225
5.2,-0.31
5.204,-0.46
5.208,-0.525
5.212,-0.495
5.216,-0.258
5.22,0.147
5.224,0.608
5.228,1.183
5.232,1.677
5.236,1.758
5.24,1.448
5.244,1.032
5.248,0.667
5.252,0.378
5.256,0.152
5.26,0.015
5.264,-0.052
5.268,-0.083
5.272,-0.117
5.276,-0.155
5.28,-0.188
5.284,-0.195
5.288,-0.215
5.292,-0.21
5.296,-0.203
5.3,-0.203
5.304,-0.212
5.308,-0.215
5.312,-0.215
5.316,-0.215
5.32,-0.203
5.324,-0.198
5.328,-0.217
5.332,-0.225
5.336,-0.237
5.34,-0.24
5.344,-0.23
5.348,-0.217
5.352,-0.23
5.356,-0.215
5.36,-0.205
5.364,-0.205
5.368,-0.198
5.372,-0.212
5.376,-0.19
5.38,-0.147
5.384,-0.152
5.388,-0.158
5.392,-0.155
5.396,-0.16
5.4,-0.14
5.404,-0.133
5.408,-0.13
5.412,-0.135
5.416,-0.115
5.42,-0.135
5.424,-0.138
5.428,-0.125
5.432,-0.142
5.436,-0.125
5.44,-0.095
5.444,-0.1
5.448,-0.085
5.452,-0.083
5.456,-0.062
5.46,-0.045
5.464,-0.022
5.468,-0.01
5.472,0.007
5.476,0.013
5.48,0.018
5.484,0.02
5.488,0.028
5.492,0.03
5.496,0.025
5.5,-0.01
5.504,0.005
5.508,-0.005
5.512,-0.025
5.516,-0.035
5.52,-0.045
5.524,-0.07
5.528,-0.085
5.532,-0.102
5.536,-0.105
5.54,-0.12
5.544,-0.115
5.548,-0.133
5.552,-0.125
5.556,-0.122
5.56,-0.122
5.564,-0.125
5.568,-0.142
5.572,-0.165
5.576,-0.182
5.58,-0.133
5.584,-0.13
5.588,-0.117
5.592,-0.158
5.596,-0.16
5.6,-0.155
5.604,-0.16
5.608,-0.17
5.612,-0.18
